burst_num,i,burst_pairs,offsets,delays,min_offset,min_delay
0,0,0,0.088796,0.055711,0.078775,0.033509
0,1,1,0.078091,0.034023,0.078775,0.033509
0,2,2,0.079996,0.036419,0.078775,0.033509
0,3,3,0.077386,0.034883,0.078775,0.033509
0,4,4,0.079581,0.036116,0.078775,0.033509
0,5,5,0.078376,0.034173,0.078775,0.033509
0,6,6,0.08031,0.037454,0.078775,0.033509
0,7,7,0.078775,0.033509,0.078775,0.033509
1,0,10,0.080591,0.0373,0.078557,0.032804
1,1,11,0.078451,0.034128,0.078557,0.032804
1,2,12,0.075762,0.03834,0.078557,0.032804
1,3,13,0.080309,0.037618,0.078557,0.032804
1,4,14,0.078749,0.032846,0.078557,0.032804
1,5,15,0.081341,0.038186,0.078557,0.032804
1,6,16,0.078331,0.035666,0.078557,0.032804
1,7,17,0.078557,0.032804,0.078557,0.032804
2,0,20,0.081373,0.038167,0.078622,0.031065
2,1,21,0.07854,0.0328,0.078622,0.031065
2,2,22,0.07886,0.033896,0.078622,0.031065
2,3,23,0.07956,0.034883,0.078622,0.031065
2,4,24,0.079035,0.03308,0.078622,0.031065
2,5,25,0.078722,0.032969,0.078622,0.031065
2,6,26,0.078996,0.035976,0.078622,0.031065
2,7,27,0.078622,0.031065,0.078622,0.031065
3,0,30,0.080655,0.03696,0.078211,0.032822
3,1,31,0.080223,0.035897,0.078211,0.032822
3,2,32,0.07883,0.033439,0.078211,0.032822
3,3,33,0.078805,0.033845,0.078211,0.032822
3,4,34,0.078762,0.033666,0.078211,0.032822
3,5,35,0.078324,0.034262,0.078211,0.032822
3,6,36,0.07978,0.035811,0.078211,0.032822
3,7,37,0.078211,0.032822,0.078211,0.032822
4,0,40,0.081958,0.038159,0.078505,0.032637
4,1,41,0.081004,0.039383,0.078505,0.032637
4,2,42,0.077556,0.033926,0.078505,0.032637
4,3,43,0.086553,0.048285,0.078505,0.032637
4,4,44,0.078315,0.033119,0.078505,0.032637
4,5,45,0.078268,0.03331,0.078505,0.032637
4,6,46,0.078744,0.034419,0.078505,0.032637
4,7,47,0.078505,0.032637,0.078505,0.032637
5,0,50,0.080605,0.036482,0.0788,0.032535
5,1,51,0.07883,0.033486,0.0788,0.032535
5,2,52,0.079545,0.034127,0.0788,0.032535
5,3,53,0.079404,0.036013,0.0788,0.032535
5,4,54,0.080059,0.034868,0.0788,0.032535
5,5,55,0.079188,0.033988,0.0788,0.032535
5,6,56,0.079065,0.03264,0.0788,0.032535
5,7,57,0.0788,0.032535,0.0788,0.032535
